0.063233 ,0.008787 ,0.088408 ,0.043346 ,0.743694 ,0.450193 ,0.011320 ,0.081219 ,0.188465 
0.063233 ,0.008787 ,0.010213 ,0.142422 ,0.267774 ,0.283803 ,0.517798 ,0.074795 ,0.099820 
0.058332 ,0.666479 ,0.087061 ,0.176402 ,0.785145 ,0.891881 ,0.159085 ,0.107428 ,0.344939 
0.058332 ,1.139125 ,0.224883 ,0.076032 ,1.468856 ,1.373129 ,0.975901 ,0.018467 ,0.958073 
0.014533 ,0.960694 ,0.107533 ,0.021654 ,0.076260 ,0.207013 ,0.424231 ,0.081219 ,0.011730 
0.213079 ,0.685444 ,0.028133 ,0.402286 ,0.152652 ,1.373129 ,0.073641 ,0.148819 ,0.763502 
0.038810 ,1.139125 ,0.224883 ,0.043346 ,0.306358 ,0.540346 ,0.159085 ,0.018467 ,0.958073 
0.218665 ,0.981176 ,0.029417 ,0.153678 ,0.911871 ,0.891881 ,0.975901 ,0.081219 ,0.188465 
0.014533 ,1.117590 ,0.107533 ,0.295892 ,0.998598 ,0.891881 ,0.333743 ,0.081219 ,0.659165 
0.270922 ,0.389953 ,0.150549 ,0.402286 ,0.422983 ,0.283803 ,0.517798 ,0.262683 ,0.533273 
0.063233 ,0.123121 ,0.108919 ,0.043346 ,0.152652 ,1.373129 ,0.448848 ,0.043248 ,0.437781 
0.270922 ,0.666479 ,0.087061 ,0.222863 ,1.418441 ,0.283803 ,0.357616 ,0.043248 ,0.559274 
0.063233 ,0.008787 ,0.088408 ,0.054217 ,0.038122 ,0.540346 ,0.182024 ,0.018467 ,0.188465 
0.058332 ,0.140747 ,0.150549 ,0.321371 ,0.076260 ,0.978010 ,0.159085 ,0.262683 ,0.533273 
0.341004 ,1.139125 ,0.048777 ,0.374479 ,0.267774 ,0.713019 ,0.159085 ,0.148819 ,0.188465 
0.213079 ,0.123121 ,0.107533 ,0.374479 ,1.418441 ,0.207013 ,0.642116 ,0.107428 ,0.763502 
0.341004 ,1.117590 ,0.088408 ,0.120095 ,1.468856 ,0.891881 ,0.517798 ,0.081219 ,0.076295 
